url,metro,area,community,size,layout,price,unit_price,input,floor,year,building,facing,decorate,title
https://sh.lianjia.com/ershoufang/107101767655.html,中山公园站,中山公园,虹桥向日葵公寓, 111.8平米 ,3室1厅 ,726,单价64938元/平米,67人关注 / 5个月以前发布, 低楼层(共27层) , 2000年建 , 塔楼, 南 , 简装 ,内环内 三房朝南户型 正看天山公园 诚意出售
https://sh.lianjia.com/ershoufang/107101124018.html,中山公园站,中山公园,三泾南宅, 108.34平米 ,3室1厅 ,717,单价66181元/平米,206人关注 / 11个月以前发布, 高楼层(共7层) , 1995年建 , 板楼, 南 北 , 简装 ,电梯小高层，满五年唯一没有个税，诚意出售，看房方便
https://sh.lianjia.com/ershoufang/107101893227.html,中山公园站,中山公园,长江小区, 102.07平米 ,3室1厅 ,715,单价70050元/平米,24人关注 / 4个月以前发布, 低楼层(共7层) , 1996年建 , 板楼, 南 , 简装 ,两房朝南，一梯两户，199年房龄，生活方便，房龄新
https://sh.lianjia.com/ershoufang/107101609327.html,中山公园站,中山公园,原水小区, 98.69平米 ,3室2厅 ,735,单价74476元/平米,51人关注 / 6个月以前发布, 中楼层(共6层) , 1996年建 , 板楼, 南 , 精装 ,《必看笋盘》江苏路地铁口/正气3房，刚需客必经之地
https://sh.lianjia.com/ershoufang/107101460063.html,中山公园站,中山公园,中包公寓, 95.51平米 ,3室2厅 ,750,单价78526元/平米,29人关注 / 7个月以前发布, 低楼层(共6层) , 1996年建 , 板楼, 南 , 简装 ,江苏路地铁站，96年一梯两户，南北全明看房方便
https://sh.lianjia.com/ershoufang/107100299430.html,中山公园站,中山公园,悦达花苑, 125平米 ,3室2厅 ,700,单价56000元/平米,357人关注 / 一年前发布, 低楼层(共15层) , 1999年建 , 板楼, 南 , 简装 ,边套三房，低总价，交通便利配套好，房龄新。
https://sh.lianjia.com/ershoufang/107101284211.html,中山公园站,中山公园,仲信苑, 118.88平米 ,3室2厅 ,898,单价75539元/平米,97人关注 / 9个月以前发布, 中楼层(共21层) , 板楼,, 南 , 简装 ,必卖笋盘！愚小正气3房 高区景观看花园，地铁口
https://sh.lianjia.com/ershoufang/107102092391.html,中山公园站,中山公园,虹桥向日葵公寓, 129.53平米 ,3室2厅 ,820,单价63306元/平米,6人关注 / 2个月以前发布, 高楼层(共27层) , 2000年建 , 塔楼, 西南 西 , 精装 ,楼下刷卡入公园，穿过公园是地铁，视野开阔，厨卫全明
https://sh.lianjia.com/ershoufang/107101677016.html,中山公园站,中山公园,长源小区, 127.6平米 ,3室1厅 ,780,单价61129元/平米,19人关注 / 5个月以前发布, 高楼层(共6层) , 1996年建 , 板楼, 南 , 简装 ,三间朝南，一梯两户，南北通风，全明户型，得房率高
https://sh.lianjia.com/ershoufang/107101893227.html,江苏路站,中山公园,长江小区, 102.07平米 ,3室1厅 ,715,单价70050元/平米,24人关注 / 4个月以前发布, 低楼层(共7层) , 1996年建 , 板楼, 南 , 简装 ,两房朝南，一梯两户，199年房龄，生活方便，房龄新
https://sh.lianjia.com/ershoufang/107101609327.html,江苏路站,中山公园,原水小区, 98.69平米 ,3室2厅 ,735,单价74476元/平米,51人关注 / 6个月以前发布, 中楼层(共6层) , 1996年建 , 板楼, 南 , 精装 ,《必看笋盘》江苏路地铁口/正气3房，刚需客必经之地
https://sh.lianjia.com/ershoufang/107101460063.html,江苏路站,中山公园,中包公寓, 95.51平米 ,3室2厅 ,750,单价78526元/平米,29人关注 / 7个月以前发布, 低楼层(共6层) , 1996年建 , 板楼, 南 , 简装 ,江苏路地铁站，96年一梯两户，南北全明看房方便
https://sh.lianjia.com/ershoufang/107101838072.html,江苏路站,镇宁路,金桥花园, 106.83平米 ,3室2厅 ,740,单价69269元/平米,34人关注 / 4个月以前发布, 中楼层(共29层) , 1997年建 , 塔楼, 西南 西 西北 , 精装 ,江苏路 总价低 高区三房两厅两卫
https://sh.lianjia.com/ershoufang/107101417551.html,江苏路站,镇宁路,金桥花园, 106.83平米 ,3室2厅 ,835,单价78162元/平米,29人关注 / 8个月以前发布, 高楼层(共29层) , 1997年建 , 塔楼, 南 , 简装 ,东诸安浜路镇宁路+小区有会所+全明户型+带地下车位
https://sh.lianjia.com/ershoufang/107100387802.html,江苏路站,曹家渡,万航公寓, 93.67平米 ,3室1厅 ,800,单价85407元/平米,38人关注 / 一年前发布, 中楼层(共24层) , 1993年建 , 塔楼, 南 , 毛坯 ,满五唯一，售后公房，正南中区，小区安静
https://sh.lianjia.com/ershoufang/107101656220.html,江苏路站,曹家渡,高荣小区, 93.72平米 ,3室1厅 ,780,单价83227元/平米,15人关注 / 6个月以前发布, 中楼层(共24层) , 1992年建 , 塔楼, 南 , 精装 ,满五唯一，装修好，楼层适中，采光视野无遮挡
https://sh.lianjia.com/ershoufang/107101953656.html,江苏路站,镇宁路,金桥花园, 106.83平米 ,3室2厅 ,765,单价71610元/平米,27人关注 / 3个月以前发布, 中楼层(共29层) , 1997年建 , 塔楼, 西南 西 西北 , 简装 ,东诸安浜路+三房两厅两卫+全明户型+满五唯一+看房方便
