line_name,station_name,station_code
磁悬浮,龙阳路站,/li50000001862402s100021855/
磁悬浮,浦东国际机场站,/li50000001862402s100021866/
5号线支线,东川路站,/li50000001862401s100021911/
5号线支线,金平路站,/li50000001862401s100021910/
5号线支线,华宁路站,/li50000001862401s100021909/
5号线支线,文井路站,/li50000001862401s100021908/
5号线支线,闵行开发区站,/li50000001862401s100021907/
11号线(花桥-迪士尼),迪士尼站,/li50000001862400s5020027905551036/
11号线(花桥-迪士尼),康新公路站,/li50000001862400s5020030724190544/
11号线(花桥-迪士尼),秀沿路站,/li50000001862400s5020030724190249/
11号线(花桥-迪士尼),御桥站,/li50000001862400s100022067/
11号线(花桥-迪士尼),罗山路站,/li50000001862400s100022068/
11号线(花桥-迪士尼),浦三路站,/li50000001862400s100022066/
11号线(花桥-迪士尼),三林东站,/li50000001862400s100022065/
11号线(花桥-迪士尼),三林站,/li50000001862400s100022039/
11号线(花桥-迪士尼),东方体育中心站,/li50000001862400s100021917/
11号线(花桥-迪士尼),龙耀路站,/li50000001862400s100022040/
11号线(花桥-迪士尼),云锦路站,/li50000001862400s100022041/
11号线(花桥-迪士尼),龙华站,/li50000001862400s100022042/
11号线(花桥-迪士尼),上海游泳馆站,/li50000001862400s100022043/
11号线(花桥-迪士尼),徐家汇站,/li50000001862400s100021830/
11号线(花桥-迪士尼),交通大学站,/li50000001862400s100022022/
11号线(花桥-迪士尼),江苏路站,/li50000001862400s100021846/
11号线(花桥-迪士尼),隆德路站,/li50000001862400s100022044/
11号线(花桥-迪士尼),曹杨路站,/li50000001862400s100021874/
11号线(花桥-迪士尼),枫桥路站,/li50000001862400s100022045/
11号线(花桥-迪士尼),真如站,/li50000001862400s100022046/
11号线(花桥-迪士尼),上海西站站,/li50000001862400s100022047/
11号线(花桥-迪士尼),李子园站,/li50000001862400s100022048/
11号线(花桥-迪士尼),武威路站,/li50000001862400s100022050/
11号线(花桥-迪士尼),桃浦新村站,/li50000001862400s100022051/
11号线(花桥-迪士尼),南翔站,/li50000001862400s100022052/
11号线(花桥-迪士尼),祁连山路站,/li50000001862400s100022049/
11号线(花桥-迪士尼),马陆站,/li50000001862400s100022053/
11号线(花桥-迪士尼),嘉定新城站,/li50000001862400s100022054/
11号线(花桥-迪士尼),昌吉东路站,/li50000001862400s100022056/
11号线(花桥-迪士尼),上海汽车城站,/li50000001862400s100022057/
11号线(花桥-迪士尼),安亭站,/li50000001862400s100022058/
11号线(花桥-迪士尼),兆丰路站,/li50000001862400s100022059/
11号线(花桥-迪士尼),上海赛车场站,/li50000001862400s100022055/
11号线(花桥-迪士尼),光明路站,/li50000001862400s100022060/
11号线(花桥-迪士尼),花桥站,/li50000001862400s100022061/
金山铁路,上海南站站,/li5020043128392266s100021833/
金山铁路,春申火车站站,/li5020043128392266s5020043128392412/
金山铁路,新桥站,/li5020043128392266s5020043128392410/
金山铁路,车墩站,/li5020043128392266s5020043128392408/
金山铁路,金山卫站站,/li5020043128392266s5020043128392398/
1号线,富锦路站,/li143685036s100021810/
1号线,友谊西路站,/li143685036s100021811/
1号线,宝安公路站,/li143685036s100021812/
